id,"date_created","text_raw","category_parent","category_child","responsible","lat","lon","address_input","detail_url"	
2452795,"2026-01-02","Im Bereich des Stromkastens der SWK liegen Glassplitter.","Muell/Sauberkeit","verschmutzte Strassen und Plaetze","Technische Betriebe","47.6687","9.1968","keine (autom. ermittelt: Richard-Wagner-Strasse 9, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2452795"	
2452787,"2026-01-02","Im Bereich der Bushaltestelle Rosenau stadteinwaerts sowie auf dem angrenzenden Fahrrad- und Fussweg liegen Glassplitter.","Muell/Sauberkeit","verschmutzte Strassen und Plaetze","Technische Betriebe","47.667","9.199","keine (autom. ermittelt: Rosenau, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2452787"	
2452357,"2026-01-02","In der Strasse Im Weinberg sind mehrere Strassenlaternen defekt: die Nummern 6,7 und 8.","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6757","9.1948","keine (autom. ermittelt: Elblingweg 12, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2452357"	
2451859,"2026-01-02","Boeller im Wechselgeldfach","Strassen, Fahrrad & Verkehr","Parkscheinautomat defekt","Technische Betriebe","47.6701","9.182","keine (autom. ermittelt: Theodor-Heuss-Strasse 25, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2451859"	
2451409,"2026-01-01","Sehr geehrte Damen und Herren,in der Brandesstrasse an der Kreuzung  in Naehe von Haus 21 ist Laterne Nr.18 defekt.Bitte um schnellstmoegliche Reparatur, da gefaehrliche Stelle an Kreuzung.Vielen Dank","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6731","9.1948","keine (autom. ermittelt: Brandesstrasse 21, 78464 Konstanz, Deutschland","https://konstanz-mitgestalten.de/bms/2451409"	
2450957,"2026-01-01","Strassenlaterne Nr. 20 Steinstr. Hoehe Haus-Nr. 14 defekt","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6742","9.1784","keine (autom. ermittelt: Steinstrasse 21, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2450957"	
2450881,"2026-01-01","Verkehrsschild ist verdreht","Strassen, Fahrrad & Verkehr","Schilder unkenntlich","Technische Betriebe","47.6762","9.1725","keine (autom. ermittelt: Schneckenburgstrasse 46, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2450881"	
2450639,"2026-01-01","Kot am Elektro-Kasten, wilder Muell, Unrat.Die Ecke ist oft betroffen vom wildem Muell, Dreck und Unrat, aber aktuell ist es besonders extrem.Im allgemeinen faellt auf, dass die Hohenhausgasse zwischen Zollernstr und Hofhalde nie gekehrt wird, waehrend in der Zollernstr taeglich ein Kehrauto faehrt. Warum faehrt es nicht auch regelmaessig durch die Hohenhausgasse?","Muell/Sauberkeit","verschmutzte Strassen und Plaetze","Technische Betriebe","47.6623","9.1757","keine (autom. ermittelt: Zollernstrasse 16, 78462 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2450639"	
2450547,"2025-12-31","Strassenlaterne Nr. 12 defekt","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6679","9.189","keine (autom. ermittelt: Gruengang 15, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2450547"	
2449637,"2025-12-31","Am Ende der Ralf-Dahrendorf-Str sind 2 Strassenlaternen defekt","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6805","9.1865","keine (autom. ermittelt: Ralf-Dahrendorf-Str. 23, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2449637"	
2449623,"2025-12-31","nr 30 ist dunkel","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6627","9.1641","keine (autom. ermittelt: Gottlieber Str. 36A, 78462 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2449623"	
